id,titulo,autor,genero,puntuacion
1,La ladrona de libros,Randy Allen,Dystopía,3.7
2,Cometas en el cielo,Troy Grant,Clásico,4.0
3,El alquimista,Amanda Swanson,Histórico,1.5
4,El Principito,Doris Gibson,Ciencia Ficción,2.1
5,Juego de tronos,Tracy Clark,Biografía,4.7
6,Juego de tronos,Lisa Hogan,Clásico,1.3
7,Drácula,Jeffrey Vasquez,Terror,3.2
8,American Gods,Gregory York,Fábula,4.4
9,Don Quijote de la Mancha,Christopher Lopez,Fábula,1.6
10,Fahrenheit 451,Katrina Barrera,Romance,2.5
11,Orgullo y prejuicio,Joanna Fisher,Drama,2.2
12,Anna Karenina,Aaron Wilson,Ciencia Ficción,2.6
13,Ensayo sobre la ceguera,Adam Hughes,Aventura,4.2
14,La sombra del viento,Charles Perez,Aventura,1.0
15,Cometas en el cielo,James Clements,Terror,4.8
16,A sangre fría,Rebecca Wright,Dystopía,3.9
17,Madame Bovary,Craig West,Biografía,4.1
18,La ladrona de libros,Brett Malone,Drama,3.4
19,Harry Potter y la piedra filosofal,Phillip Smith,Fantasía,4.3
20,Madame Bovary,Randall Bishop,Dystopía,2.8
21,La ladrona de libros,Tina Townsend,Thriller,4.7
22,Madame Bovary,Traci Mills,Experimental,2.7
23,El perfume,Shelby Rodriguez,Misterio,4.3
24,Orgullo y prejuicio,Todd Adams,Clásico,1.3
25,Cometas en el cielo,Crystal Crosby,Misterio,1.9
26,Frankenstein,Christina Conley,Thriller,1.9
27,It,Sheila Castillo,Experimental,1.8
28,Drácula,Tiffany Davis,Experimental,1.3
29,Fahrenheit 451,Theresa Meyers,Terror,3.8
30,Madame Bovary,Karen Rogers,Clásico,1.6
31,La chica del tren,Tracy Bautista,Drama,2.8
32,El Principito,Kim Miller,Histórico,4.7
33,It,Ashley Frank DDS,Aventura,2.3
34,El niño con el pijama de rayas,Melissa Sharp DDS,Histórico,4.8
35,Cien años de soledad,John Preston,Misterio,1.7
36,El psicoanalista,Jacob Miller,Realismo Mágico,3.8
37,Don Quijote de la Mancha,Kayla Sanchez,Experimental,2.7
38,Frankenstein,Angela Sanchez,Biografía,3.2
39,El niño con el pijama de rayas,Joshua Miller,Romance,3.8
40,El Principito,John Ramirez,Clásico,4.2
41,El psicoanalista,Rachel Larsen,Realismo Mágico,2.7
42,Cien años de soledad,Tara Dunn,Experimental,1.2
43,Un mundo feliz,Lisa Decker,Fábula,1.1
44,Matar a un ruiseñor,Kelly Perez,Thriller,3.3
